H_A,Minutes,PointsPerMinute,ProjTotal,AvgPointsPerMinute,BackToBack,ThreeOfFour,Back2BackTravel,DvP Pos,Last5DvP,Last5DvPRank
0,34.25,1.613138686,103.5,1.208124987,1,1,1,PF,1.049050524,21
0,30.33333333,1.467032967,98,1.235988506,0,0,0,PG,0.73309023,1
0,32.86666667,0.966024341,100,1.143966652,0,0,0,C,1.054786002,19
0,25.76666667,0.543337646,107.5,0.6753442,0,0,0,SF,0.826353749,18
0,31.88333333,0.972294825,100,0.92502456,0,0,0,PG,0.882008589,5
0,30.68333333,0.611080934,111,0.613478657,0,0,0,SF,0.553863506,1
0,25.93333333,0.906169666,109,0.856607544,0,0,0,PG,0.967178002,10
0,33.56666667,1.191658391,99,1.004142124,0,0,0,PG,1.102638895,21
0,29.08333333,1.108882521,99,0.851248519,0,0,0,SG,0.738824849,8
0,33.25,1.714285714,99,1.092217576,0,0,0,C,1.250338228,29
0,34.65,0.44011544,111,0.728473936,0,0,0,PF,0.641622309,2
0,33.48333333,0.866102539,103.5,0.885689393,1,0,1,SG,0.740271237,8
0,36.95,0.52097429,111,0.707454013,0,0,0,SF,0.553863506,1
0,27.18333333,1.112814224,105.5,0.736057941,0,0,0,SF,0.743356701,9
0,34.25,1.058394161,102.25,0.920780547,0,0,0,SF,0.841744639,21
0,21.3,0.927230047,102.25,1.035401983,0,0,0,C,1.058167854,20
0,27.93333333,0.715990453,117,0.96744336,0,0,0,SF,0.733956108,7
0,28.7,1.637630662,117,1.176086104,0,0,0,PG,1.217919606,28
0,24.81666667,0.302216253,105.5,0.924089311,0,0,0,PG,0.848893035,3
0,32.06666667,0.99012474,117,0.926655971,0,0,0,SF,0.733956108,7
0,25.11666667,1.552753816,105.5,1.041840643,0,0,0,PF,1.134998656,27
0,27.81666667,1.563810665,104,1.418413561,0,0,0,PG,0.851393675,4
0,27.95,0.91234347,102.25,0.821952489,0,0,0,SG,0.753332642,9
0,31.96666667,0.727320125,104,0.987693797,0,0,0,SG,0.925062865,22
0,27.2,1.433823529,102.25,1.062929571,0,0,0,PF,0.977877173,19
0,27.76666667,1.06242497,102.25,1.013410646,0,0,0,PG,0.965376389,9
0,20.5,0.646341463,104,0.804938858,0,0,0,SG,0.925062865,22
0,30.78333333,1.177585273,117,1.029443515,0,0,0,SF,0.733956108,7
0,27.4,1.058394161,105.5,0.828420002,0,0,0,PF,1.134998656,27
0,19.1,0.510471204,104,0.722206858,0,0,0,PF,0.915100665,12
0,15.33333333,0.505434783,117,0.754647929,0,0,0,C,1.037067686,15
0,29.73333333,0.67264574,104,0.489025669,0,0,0,SG,0.925062865,22
0,28.11666667,0.889152341,105.5,1.231554144,0,0,0,SG,0.631572139,2
0,25.55,1.066536204,103,1.026381617,0,0,0,C,1.056918597,19
0,20.21666667,0.680131904,103.75,0.810631774,0,0,0,SG,0.794947295,15
0,43.16666667,1.250965251,113.5,1.475438382,0,0,0,PF,0.917201926,15
0,22.71666667,0.781364637,103,0.839830287,0,0,0,C,1.056918597,19
0,25.01666667,1.019320453,108.75,0.810029292,0,0,0,PG,0.975177222,15
0,33.5,1.559701493,108,1.252422728,0,0,0,SF,0.81434972,18
0,28.25,1.415929204,108.75,1.218442248,0,0,0,PF,1.016320122,21
0,37.9,1.398416887,119,1.059211982,0,0,0,SG,1.169417869,30
0,23.51666667,0.712260808,105.25,0.719274998,0,0,0,SG,0.890592404,16
0,25.88333333,1.197681906,108.75,0.833436825,0,0,0,SF,0.79313952,14
0,27.1,0.110701107,113.5,0.628876292,0,0,0,PF,0.917201926,15
0,20.16666667,0.595041322,108,0.984487141,0,0,0,SF,0.81434972,18
0,24.36666667,1.179890561,108.75,1.14883807,0,0,0,C,1.307254147,28
0,40.73333333,1.761456628,113.5,1.538590475,0,0,0,PF,0.917201926,15
0,27.38333333,0.410833841,97.5,0.944105724,0,0,0,PF,0.894550314,13
0,28.85,0.849220104,113.75,0.7644945,0,0,0,PG,1.01146075,15
0,32.65,0.941807044,103,0.814897559,0,0,0,SG,0.709885277,4
0,29.21666667,1.223616657,103.5,1.250448133,0,0,0,C,1.160179751,24
0,17.98333333,1.056533828,105.25,1.243727174,0,0,0,C,1.363776662,30
0,29.48333333,0.644431882,113.5,0.691762562,0,0,0,SG,0.941475325,24
0,24.2,0.919421488,109.5,0.859091611,0,0,0,SG,0.832274644,15
0,34.38333333,1.083373728,103,0.992119548,0,0,0,PG,1.146711591,23
0,26.36666667,1.365360303,103,1.366182055,0,0,0,C,1.140657295,20
0,31.78333333,0.432616675,108,0.871757866,0,0,0,SG,0.722881608,7
0,33.31666667,0.390195098,113.75,0.597024926,0,0,0,SG,0.622644283,2
0,21.31666667,1.465989054,109.5,0.922101868,0,1,0,PG,1.077647126,19
0,35.15,0.761024182,103.75,0.642288746,0,0,0,SF,0.835630386,20
0,19.43333333,0.540308748,103.75,0.737823866,0,0,0,PF,1.060470544,23
0,20.23333333,0.444810544,105.25,0.810751576,0,0,0,PG,0.905659181,6
0,15.5,0.64516129,119,0.787563513,0,0,0,C,0.897968692,7
0,24.68333333,1.336934504,103,0.832295927,0,0,0,SF,0.806194342,17
0,26.41666667,0.738170347,103,0.849486209,0,0,0,SF,0.806194342,17
0,23.31666667,1.050750536,103.5,0.973909132,0,0,0,SG,0.815377178,16
0,35.33333333,0.764150943,97.5,0.852897136,0,0,0,SF,0.828617335,19
0,30.25,1.917355372,108,1.506562778,0,0,0,C,1.220275286,27
0,35.95,1.189151599,119,1.228839783,0,0,0,PG,1.226495561,27
0,22.2,0.382882883,103,0.796114079,0,0,0,SF,0.949839553,28
0,38.43333333,0.735039029,113.5,1.031801487,0,0,0,PG,1.233274155,28
0,21.78333333,0.482019893,119,0.808383932,0,0,0,SF,0.785611642,13
0,34.3,1.049562682,103.5,1.103447625,0,0,0,PG,1.190542913,26
0,36.01666667,1.062008329,113.75,1.259846241,0,0,0,PF,0.991800391,20
0,27.6,1.096014493,105.25,1.208124987,0,0,0,PF,0.775359192,2
0,27,1.425925926,103,1.235988506,0,0,0,PG,1.043625959,19
0,37.46666667,1.628113879,113.75,1.536531793,0,0,0,SF,1.032477564,28
0,36.31666667,0.984396512,103.75,1.143966652,0,0,0,C,1.08277126,21
0,33.33333333,0.9225,119,0.90692244,0,0,0,C,0.897968692,7
0,26.15,1.061185468,103.75,0.802154859,0,0,0,PG,1.114785122,23
0,29.35,0.800681431,103.5,0.762192758,0,1,0,PF,0.849769186,7
0,30.65,1.647634584,109.5,1.390130989,0,1,0,C,1.040286911,16
