Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Christian Wood (14116627),Christian Wood,14116627,PF/C/F/UTIL,4100,CHI@DET 01/11/2020 07:00PM ET,DET,18.5
PF/C,Ersan Ilyasova (14116646),Ersan Ilyasova,14116646,PF/C/F/UTIL,4000,MIL@POR 01/11/2020 10:00PM ET,MIL,18.06
SG/SF,Svi Mykhailiuk (14116633),Svi Mykhailiuk,14116633,SG/SF/F/G/UTIL,4000,CHI@DET 01/11/2020 07:00PM ET,DET,12.79
SF/PF,Mike Scott (14116638),Mike Scott,14116638,SF/PF/F/UTIL,4000,PHI@DAL 01/11/2020 08:30PM ET,PHI,12.03
PG/SG,Seth Curry (14116642),Seth Curry,14116642,PG/SG/G/UTIL,4000,PHI@DAL 01/11/2020 08:30PM ET,DAL,17.17
PG/SG,Brandon Knight (14116650),Brandon Knight,14116650,PG/SG/G/UTIL,3900,CLE@DEN 01/11/2020 09:00PM ET,CLE,11.31
SG/SF,Kent Bazemore (14116668),Kent Bazemore,14116668,SG/SF/F/G/UTIL,3800,MIL@POR 01/11/2020 10:00PM ET,POR,17.94
C,Jaxson Hayes (14116658),Jaxson Hayes,14116658,C/UTIL,3800,NO@BOS 01/11/2020 07:00PM ET,NO,19.1
PG,Rajon Rondo (14116660),Rajon Rondo,14116660,PG/G/UTIL,3800,LAL@OKC 01/11/2020 08:00PM ET,LAL,20.95
PF/C,Mason Plumlee (14116654),Mason Plumlee,14116654,PF/C/F/UTIL,3800,CLE@DEN 01/11/2020 09:00PM ET,DEN,18.93
SG/SF,Kevin Porter Jr. (14116663),Kevin Porter Jr.,14116663,SG/SF/F/G/UTIL,3800,CLE@DEN 01/11/2020 09:00PM ET,CLE,17.12
PF/C,Thon Maker (14116673),Thon Maker,14116673,PF/C/F/UTIL,3800,CHI@DET 01/11/2020 07:00PM ET,DET,8.62
SG/SF,Kentavious Caldwell-Pope (14116679),Kentavious Caldwell-Pope,14116679,SG/SF/F/G/UTIL,3700,LAL@OKC 01/11/2020 08:00PM ET,LAL,16.69
C,John Henson (14116677),John Henson,14116677,C/UTIL,3700,CLE@DEN 01/11/2020 09:00PM ET,CLE,14.46
PG/SG,Anfernee Simons (14116692),Anfernee Simons,14116692,PG/SG/G/UTIL,3600,MIL@POR 01/11/2020 10:00PM ET,POR,15.96
SG/SF,Wesley Matthews (14116696),Wesley Matthews,14116696,SG/SF/F/G/UTIL,3600,MIL@POR 01/11/2020 10:00PM ET,MIL,14.57
