Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame
G,Cameron Davis (13308280),Cameron Davis,13308280,G,6800,A Military Tribute at The Greenbrier,Golf,33.70475039,Sam Burns(13308273),Branden Grace(13308241),Andrew Landry(13308248),Viktor Hovland(13308212),Sungjae Im(13308216),Mackenzie Hughes(13308259),49900,359.314
G,Carlos Ortiz (13308281),Carlos Ortiz,13308281,G,6800,A Military Tribute at The Greenbrier,Golf,38.13951103,Bryson DeChambeau(13308211),Bud Cauley(13308239),Sam Burns(13308273),Bubba Watson(13308215),Scott Stallings(13308269),Mackenzie Hughes(13308259),49900,359.305
G,Harris English (13308282),Harris English,13308282,G,6800,A Military Tribute at The Greenbrier,Golf,30.50583169,Joaquin Niemann(13308217),Sam Burns(13308273),Jason Dufner(13308245),Denny McCarthy(13308232),Jason Kokrak(13308213),Mackenzie Hughes(13308259),50000,359.293
G,Hank Lebioda (13308283),Hank Lebioda,13308283,G,6800,A Military Tribute at The Greenbrier,Golf,30.56091336,Bud Cauley(13308239),Sam Burns(13308273),Viktor Hovland(13308212),Andrew Landry(13308248),Sungjae Im(13308216),Mackenzie Hughes(13308259),49900,359.234
G,Ryan Brehm (13308284),Ryan Brehm,13308284,G,6800,A Military Tribute at The Greenbrier,Golf,45.0870321,Bryson DeChambeau(13308211),Joaquin Niemann(13308217),Jason Dufner(13308245),Andrew Landry(13308248),Scott Stallings(13308269),Mackenzie Hughes(13308259),49900,359.214
G,Brendan Steele (13308285),Brendan Steele,13308285,G,6700,A Military Tribute at The Greenbrier,Golf,35.74963447,Joaquin Niemann(13308217),Sam Burns(13308273),Jason Dufner(13308245),Viktor Hovland(13308212),Cameron Tringale(13308252),Mackenzie Hughes(13308259),49500,359.158
G,Richy Werenski (13308286),Richy Werenski,13308286,G,6700,A Military Tribute at The Greenbrier,Golf,30.56091336,Sam Burns(13308273),J.J. Spaun(13308274),Jason Kokrak(13308213),Cameron Tringale(13308252),Viktor Hovland(13308212),Mackenzie Hughes(13308259),49700,359.155
G,Patton Kizzire (13308287),Patton Kizzire,13308287,G,6700,A Military Tribute at The Greenbrier,Golf,36.88152463,Bryson DeChambeau(13308211),Joaquin Niemann(13308217),Joel Dahmen(13308234),Sam Burns(13308273),J.J. Spaun(13308274),Mackenzie Hughes(13308259),49800,359.111
G,Peter Malnati (13308288),Peter Malnati,13308288,G,6700,A Military Tribute at The Greenbrier,Golf,32.86104356,Bryson DeChambeau(13308211),Joaquin Niemann(13308217),Sam Burns(13308273),J.J. Spaun(13308274),J.B. Holmes(13308233),Mackenzie Hughes(13308259),49900,359.091
G,Shawn Stefani (13308289),Shawn Stefani,13308289,G,6700,A Military Tribute at The Greenbrier,Golf,35.72909203,Bryson DeChambeau(13308211),Viktor Hovland(13308212),Nate Lashley(13308275),J.J. Spaun(13308274),Scott Stallings(13308269),Mackenzie Hughes(13308259),50000,359.049
G,Johnson Wagner (13308290),Johnson Wagner,13308290,G,6700,A Military Tribute at The Greenbrier,Golf,34.71785949,Joaquin Niemann(13308217),Sam Burns(13308273),Jason Dufner(13308245),Joel Dahmen(13308234),Jason Kokrak(13308213),Mackenzie Hughes(13308259),49800,359.044
G,Brendon Todd (13308291),Brendon Todd,13308291,G,6700,A Military Tribute at The Greenbrier,Golf,35.70798138,Joaquin Niemann(13308217),Sam Burns(13308273),Jason Dufner(13308245),Viktor Hovland(13308212),Scott Stallings(13308269),Mackenzie Hughes(13308259),49200,359.043
G,Xinjun Zhang (13308292),Xinjun Zhang,13308292,G,6600,A Military Tribute at The Greenbrier,Golf,28.45791505,Sam Burns(13308273),Viktor Hovland(13308212),Jason Kokrak(13308213),J.J. Spaun(13308274),Scott Stallings(13308269),Mackenzie Hughes(13308259),49400,359.04
G,D.J. Trahan (13308293),D.J. Trahan,13308293,G,6600,A Military Tribute at The Greenbrier,Golf,31.16556607,Joaquin Niemann(13308217),Sam Burns(13308273),Jason Dufner(13308245),Jason Kokrak(13308213),J.B. Holmes(13308233),Mackenzie Hughes(13308259),49900,359.024
G,Tyler Duncan (13308294),Tyler Duncan,13308294,G,6600,A Military Tribute at The Greenbrier,Golf,33.70475039,Bryson DeChambeau(13308211),Joaquin Niemann(13308217),Sam Burns(13308273),Cameron Tringale(13308252),Andrew Landry(13308248),Mackenzie Hughes(13308259),49600,359.005
G,Scott Harrington (13308295),Scott Harrington,13308295,G,6600,A Military Tribute at The Greenbrier,Golf,31.14580966,Joaquin Niemann(13308217),Jason Dufner(13308245),Branden Grace(13308241),Viktor Hovland(13308212),Scott Stallings(13308269),Mackenzie Hughes(13308259),50000,358.993
G,Mark Hubbard (13308296),Mark Hubbard,13308296,G,6600,A Military Tribute at The Greenbrier,Golf,33.75250744,Bryson DeChambeau(13308211),Jason Dufner(13308245),Andrew Landry(13308248),Sungjae Im(13308216),Mackenzie Hughes(13308259),Scott Stallings(13308269),50000,358.986
G,Bo Hoag (13308297),Bo Hoag,13308297,G,6600,A Military Tribute at The Greenbrier,Golf,34.64843766,Jason Dufner(13308245),Viktor Hovland(13308212),Jason Kokrak(13308213),Nate Lashley(13308275),Scott Stallings(13308269),Mackenzie Hughes(13308259),50000,358.982
G,Doug Ghim (13308298),Doug Ghim,13308298,G,6600,A Military Tribute at The Greenbrier,Golf,33.70475039,Bryson DeChambeau(13308211),Sam Burns(13308273),Joaquin Niemann(13308217),Denny McCarthy(13308232),Nate Lashley(13308275),Mackenzie Hughes(13308259),50000,358.978
G,Cameron Percy (13308299),Cameron Percy,13308299,G,6500,A Military Tribute at The Greenbrier,Golf,31.19004599,Sam Burns(13308273),Jason Dufner(13308245),Viktor Hovland(13308212),Cameron Tringale(13308252),Sungjae Im(13308216),Mackenzie Hughes(13308259),49600,358.93
G,Seamus Power (13308300),Seamus Power,13308300,G,6500,A Military Tribute at The Greenbrier,Golf,31.16556607,Sam Burns(13308273),Jason Dufner(13308245),Joel Dahmen(13308234),Viktor Hovland(13308212),Mackenzie Hughes(13308259),Byeong Hun(13308219),50000,358.919
G,Kyoung-Hoon Lee (13308301),Kyoung-Hoon Lee,13308301,G,6500,A Military Tribute at The Greenbrier,Golf,34.68110676,Joaquin Niemann(13308217),Bud Cauley(13308239),Jason Dufner(13308245),Viktor Hovland(13308212),Scott Stallings(13308269),Mackenzie Hughes(13308259),50000,358.913
G,Chris Baker (13308302),Chris Baker,13308302,G,6500,A Military Tribute at The Greenbrier,Golf,34.63973657,Bryson DeChambeau(13308211),Joaquin Niemann(13308217),Sam Burns(13308273),Andrew Landry(13308248),Scott Stallings(13308269),Mackenzie Hughes(13308259),49300,358.89
G,Wes Roach (13308303),Wes Roach,13308303,G,6500,A Military Tribute at The Greenbrier,Golf,31.12769962,Bryson DeChambeau(13308211),Sam Burns(13308273),Joel Dahmen(13308234),J.J. Spaun(13308274),Sungjae Im(13308216),Mackenzie Hughes(13308259),49900,358.883
G,Dominic Bozzelli (13308304),Dominic Bozzelli,13308304,G,6500,A Military Tribute at The Greenbrier,Golf,31.19004599,Bryson DeChambeau(13308211),Sam Burns(13308273),J.B. Holmes(13308233),J.J. Spaun(13308274),Sungjae Im(13308216),Mackenzie Hughes(13308259),50000,358.863
G,Chase Seiffert (13308305),Chase Seiffert,13308305,G,6500,A Military Tribute at The Greenbrier,Golf,38.07542935,Sam Burns(13308273),Jason Dufner(13308245),Joel Dahmen(13308234),Jason Kokrak(13308213),Sungjae Im(13308216),Mackenzie Hughes(13308259),49900,358.816
