Away,AwayProjectedTotal,AwayScore,Home,HomeProjectedTotal,HomeScore,OU,Line,Favorite,Date,Season,Winner,LineWinner,OverUnder,WinnerFavorite,LineWinnerFavorite,AwayBack2Back,HomeBack2Back,,,
ATL,80,55,CONN,77,84,157,-3,Away,8/17/2014,2014,Home,Home,Under,Underdog,Underdog,,,,,
IND,70,61,NEW,73.5,73,143.5,-3.5,Home,8/17/2014,2014,Home,Home,Under,Favorite,Favorite,Back,Back,,,
PHO,77,78,SEA,72,65,149,-5,Away,8/17/2014,2014,Away,Away,Under,Favorite,Favorite,Back,,,,
SA,72.75,84,CHI,80.25,72,153,-7.5,Home,8/17/2014,2014,Away,Away,Over,Underdog,Underdog,,Back,,,
SA,72.5,84,MIN,83,88,155.5,-10.5,Home,8/21/2014,2014,Home,Away,Over,Favorite,Underdog,,,,,
WAS,67.5,73,IND,72.5,78,140,-5,Home,8/21/2014,2014,Home,Push,Over,Favorite,Underdog,,,,,
CHI,75.25,80,ATL,78.75,77,154,-3.5,Home,8/22/2014,2014,Away,Away,Over,Underdog,Underdog,,,,,
LOS,73,72,PHO,83.5,75,156.5,-10.5,Home,8/22/2014,2014,Home,Away,Under,Favorite,Underdog,,,,,
MIN,80,94,SA,75,89,155,-5,Away,8/23/2014,2014,Away,Push,Over,Favorite,Underdog,,,,,
ATL,76.75,92,CHI,79.75,83,156.5,-3,Home,8/24/2014,2014,Away,Away,Over,Underdog,Underdog,,,,,
PHO,80.25,93,LOS,75.25,68,155.5,-5,Away,8/24/2014,2014,Away,Away,Over,Favorite,Favorite,,,,,
CHI,77,81,ATL,81,80,158,-4,Home,8/26/2014,2014,Away,Away,Over,Underdog,Underdog,,,,,
MIN,78,71,PHO,82.5,85,160.5,-4.5,Home,8/29/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
CHI,71.75,70,IND,75.75,77,147.5,-4,Home,8/30/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
PHO,78.75,77,MIN,81.75,82,160.5,-3,Home,8/31/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
MIN,78,78,PHO,83,96,161,-5,Home,9/2/2014,2014,Home,Home,Over,Favorite,Favorite,,,,,
CHI,71,75,IND,75,62,146,-4,Home,9/3/2014,2014,Away,Away,Under,Underdog,Underdog,,,,,
CHI,72.75,62,PHO,82.75,83,155.5,-10,Home,9/7/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
CHI,72.25,68,PHO,84.25,97,156.5,-12,Home,9/9/2014,2014,Home,Home,Over,Favorite,Favorite,,,,,
PHO,82.5,87,CHI,76,82,158.5,-6.5,Away,9/12/2014,2014,Away,Home,Over,Favorite,Underdog,,,,,
WAS,75.5,73,CONN,69.5,68,145,-6,Away,6/5/2015,2015,Away,Home,Under,Favorite,Underdog,Front,,,,
TUL,76.25,75,MIN,86.75,83,163,-10.5,Home,6/5/2015,2015,Home,Away,Under,Favorite,Underdog,Front,Front,,,
SA,74,71,PHO,79,76,153,-5,Home,6/5/2015,2015,Home,Push,Under,Favorite,Underdog,,,,,
ATL,78,73,NEW,71.5,82,149.5,-6.5,Away,6/5/2015,2015,Home,Home,Over,Underdog,Underdog,,,,,
IND,72.25,72,CHI,78.75,95,151,-6.5,Home,6/5/2015,2015,Home,Home,Over,Favorite,Favorite,Front,Front,,,
ATL,78,73,NEW,71.5,82,149.5,-6.5,Away,6/5/2015,2015,Home,Home,Over,Underdog,Underdog,,,,,
MIN,81,78,IND,73,69,154,-8,Away,6/6/2015,2015,Away,Away,Under,Favorite,Favorite,Back,Back,,,
CHI,82.25,93,TUL,84.25,101,166.5,-2,Home,6/6/2015,2015,Home,Home,Over,Favorite,Favorite,Back,Back,,,
MIN,81,78,IND,73,69,154,-8,Away,6/6/2015,2015,Away,Away,Under,Favorite,Favorite,Back,Back,,,
NEW,70,62,WAS,77,67,147,-7,Home,6/6/2015,2015,Home,Away,Under,Favorite,Underdog,Back,Back,,,
LOS,71,61,SEA,75,86,146,-4,Home,6/6/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
NEW,70,62,WAS,77,67,147,-7,Home,6/6/2015,2015,Home,Away,Under,Favorite,Underdog,Back,Back,,,
CONN,69.75,75,ATL,81.25,70,151,-11.5,Home,6/7/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
IND,73,79,NEW,76,86,149,-3,Home,6/9/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
SEA,77.75,45,TUL,83.75,68,161.5,-6,Home,6/9/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
SA,73,69,ATL,79,72,152,-6,Home,6/11/2015,2015,Home,Away,Under,Favorite,Underdog,,,,,
CHI,80.5,65,CONN,75.5,67,156,-5,Away,6/11/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
SA,73,69,ATL,79,72,152,-6,Home,6/11/2015,2015,Home,Away,Under,Favorite,Underdog,,,,,
PHO,75.25,57,NEW,73.75,68,149,-1.5,Away,6/11/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
SEA,67.25,70,MIN,80.75,94,148,-13.5,Home,6/11/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
PHO,75.25,57,NEW,73.75,68,149,-1.5,Away,6/11/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
PHO,73,74,IND,77,77,150,-4,Home,6/12/2015,2015,Home,Away,Over,Favorite,Underdog,Back,,,,
ATL,70.5,64,WAS,76.5,61,147,-6,Home,6/12/2015,2015,Away,Away,Under,Underdog,Underdog,Back,,,,
CHI,79.25,98,IND,76.25,72,155.5,-3,Away,6/14/2015,2015,Away,Away,Over,Favorite,Favorite,,,,,
